# SPDX-FileCopyrightText: 2026 Anton Lem <antonlem78@gmail.com>
# SPDX-License-Identifier: Apache-2.0
# JMH version: 1.37
# VM version: JDK 21.0.8, OpenJDK 64-Bit Server VM, 21.0.8+9-LTS
# VM invoker: C:\Program Files\Microsoft\jdk-21.0.8.9-hotspot\bin\java.exe
# VM options: -Xms1g -Xmx1g -XX:+UseG1GC -Dfile.encoding=UTF-8 -Duser.language=en -Duser.country=US -Duser.timezone=UTC -Dprinter.lab.corpus=W:\JHarmonizer\core\printer-lab\target\measurement-0f6aa72d\candidate-run\corpus
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 1 s each
# Measurement: 5 iterations, 2 s each
# Timeout: 10 min per iteration
# Threads: 8 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: io.github.lemon_ant.jharmonizer.printerlab.PrinterBenchmark.serialize
# Parameters: (workload = fixtures)

# Run progress: 0.00% complete, ETA 00:03:00
# Fork: 1 of 3
Picked up JAVA_TOOL_OPTIONS: -Dfile.encoding=UTF-8
# Warmup Iteration   1: 2105.450 ops/s
# Warmup Iteration   2: 3862.074 ops/s
# Warmup Iteration   3: 10109.771 ops/s
# Warmup Iteration   4: 14147.031 ops/s
# Warmup Iteration   5: 12438.592 ops/s
                 mempool.G1 Survivor Space.used:                38.617 KiB
                 mempool.Metaspace.used:                        38068.883 KiB
                 mempool.total.codeheap.used:                   17764.625 KiB
                 mempool.total.used:                            710195.656 KiB

Iteration   5: 11508.043 ops/s
                 gc.alloc.rate:                                 1849.947 MB/sec
                 gc.alloc.rate.norm:                            179323.855 B/op
                 gc.count:                                      7.000 counts
                 gc.time:                                       17.000 ms
                 mempool.CodeHeap 'non-nmethods'.used:          1606.375 KiB
                 mempool.CodeHeap 'non-profiled nmethods'.used: 3938.875 KiB
                 mempool.CodeHeap 'profiled nmethods'.used:     12391.000 KiB
                 mempool.Compressed Class Space.used:           5231.664 KiB
                 mempool.G1 Eden Space.used:                    627712.000 KiB
                 mempool.G1 Old Gen.used:                       21390.453 KiB
                 mempool.G1 Survivor Space.used:                41.781 KiB
                 mempool.Metaspace.used:                        38083.516 KiB
                 mempool.total.codeheap.used:                   17936.250 KiB
                 mempool.total.used:                            710395.664 KiB


# Run progress: 16.67% complete, ETA 00:04:48
# Fork: 3 of 3
Picked up JAVA_TOOL_OPTIONS: -Dfile.encoding=UTF-8
# Warmup Iteration   1: 2628.779 ops/s
# Warmup Iteration   2: 4062.199 ops/s
# Warmup Iteration   3: 4600.939 ops/s
# Warmup Iteration   4: 9180.070 ops/s
# Warmup Iteration   5: 10293.802 ops/s
Iteration   1: 10449.452 ops/s
                 gc.alloc.rate:                                 1763.119 MB/sec
                 gc.alloc.rate.norm:                            177065.644 B/op
                 gc.count:                                      6.000 counts
                 gc.time:                                       46.000 ms
                 mempool.CodeHeap 'non-nmethods'.used:          1586.625 KiB
                 mempool.CodeHeap 'non-profiled nmethods'.used: 3690.625 KiB
                 mempool.CodeHeap 'profiled nmethods'.used:     12216.000 KiB
                 mempool.Compressed Class Space.used:           5101.781 KiB
                 mempool.G1 Eden Space.used:                    626688.000 KiB
                 mempool.G1 Old Gen.used:                       21254.234 KiB
                 mempool.G1 Survivor Space.used:                12865.156 KiB
                 mempool.Metaspace.used:                        37554.523 KiB
                 mempool.total.codeheap.used:                   17493.250 KiB
                 mempool.total.used:                            720956.945 KiB

Iteration   2: 11684.879 ops/s
                 gc.alloc.rate:                                 1967.222 MB/sec
                 gc.alloc.rate.norm:                            177038.702 B/op
                 gc.count:                                      7.000 counts
                 gc.time:                                       14.000 ms
                 mempool.CodeHeap 'non-nmethods'.used:          1586.875 KiB
                 mempool.CodeHeap 'non-profiled nmethods'.used: 3698.750 KiB
                 mempool.CodeHeap 'profiled nmethods'.used:     12262.250 KiB
                 mempool.Compressed Class Space.used:           5102.844 KiB
                 mempool.G1 Eden Space.used:                    627712.000 KiB
                 mempool.G1 Old Gen.used:                       21494.203 KiB
                 mempool.G1 Survivor Space.used:                301.219 KiB
                 mempool.Metaspace.used:                        37576.023 KiB
                 mempool.total.codeheap.used:                   17547.875 KiB
                 mempool.total.used:                            709734.164 KiB

Iteration   3: 11998.270 ops/s
                 gc.alloc.rate:                                 2022.836 MB/sec
                 gc.alloc.rate.norm:                            176997.776 B/op
                 gc.count:                                      7.000 counts
                 gc.time:                                       17.000 ms
                 mempool.CodeHeap 'non-nmethods'.used:          1585.625 KiB
                 mempool.CodeHeap 'non-profiled nmethods'.used: 3699.625 KiB
                 mempool.CodeHeap 'profiled nmethods'.used:     12275.125 KiB
                 mempool.Compressed Class Space.used:           5102.844 KiB
                 mempool.G1 Eden Space.used:                    627712.000 KiB
                 mempool.G1 Old Gen.used:                       21506.016 KiB
                 mempool.G1 Survivor Space.used:                41.203 KiB
                 mempool.Metaspace.used:                        37576.977 KiB
                 mempool.total.codeheap.used:                   17560.375 KiB
                 mempool.total.used:                            709499.414 KiB

Iteration   4: 12005.192 ops/s
                 gc.alloc.rate:                                 2024.435 MB/sec
                 gc.alloc.rate.norm:                            177022.550 B/op
                 gc.count:                                      7.000 counts
                 gc.time:                                       15.000 ms
                 mempool.CodeHeap 'non-nmethods'.used:          1588.250 KiB
                 mempool.CodeHeap 'non-profiled nmethods'.used: 3713.500 KiB
                 mempool.CodeHeap 'profiled nmethods'.used:     12311.000 KiB
                 mempool.Compressed Class Space.used:           5102.844 KiB
                 mempool.G1 Eden Space.used:                    627712.000 KiB
                 mempool.G1 Old Gen.used:                       21525.547 KiB
                 mempool.G1 Survivor Space.used:                37.031 KiB
                 mempool.Metaspace.used:                        37584.500 KiB
                 mempool.total.codeheap.used:                   17612.750 KiB
                 mempool.total.used:                            709574.672 KiB

Iteration   5: 14254.072 ops/s
                 gc.alloc.rate:                                 2353.614 MB/sec
                 gc.alloc.rate.norm:                            177679.754 B/op
                 gc.count:                                      8.000 counts
                 gc.time:                                       16.000 ms
                 mempool.CodeHeap 'non-nmethods'.used:          1589.500 KiB
                 mempool.CodeHeap 'non-profiled nmethods'.used: 3719.125 KiB
                 mempool.CodeHeap 'profiled nmethods'.used:     12426.750 KiB
                 mempool.Compressed Class Space.used:           5103.352 KiB
                 mempool.G1 Eden Space.used:                    627712.000 KiB
                 mempool.G1 Old Gen.used:                       21535.625 KiB
                 mempool.G1 Survivor Space.used:                45.641 KiB
                 mempool.Metaspace.used:                        37600.125 KiB
                 mempool.total.codeheap.used:                   17735.375 KiB
                 mempool.total.used:                            709732.117 KiB



Result "io.github.lemon_ant.jharmonizer.printerlab.PrinterBenchmark.serialize":
  11873.051 ±(99.9%) 1298.930 ops/s [Average]
  (min, avg, max) = (9080.850, 11873.051, 14254.072), stdev = 1215.020
  CI (99.9%): [10574.121, 13171.981] (assumes normal distribution)

Secondary result "io.github.lemon_ant.jharmonizer.printerlab.PrinterBenchmark.serialize:gc.alloc.rate":
  1991.143 ±(99.9%) 213.446 MB/sec [Average]
  (min, avg, max) = (1531.262, 1991.143, 2353.614), stdev = 199.657
  CI (99.9%): [1777.697, 2204.588] (assumes normal distribution)

Secondary result "io.github.lemon_ant.jharmonizer.printerlab.PrinterBenchmark.serialize:gc.alloc.rate.norm":
  177979.621 ±(99.9%) 769.698 B/op [Average]
  (min, avg, max) = (176997.776, 177979.621, 179323.855), stdev = 719.976
  CI (99.9%): [177209.923, 178749.319] (assumes normal distribution)

Secondary result "io.github.lemon_ant.jharmonizer.printerlab.PrinterBenchmark.serialize:gc.count":
  104.000 ±(99.9%) 0.001 counts [Sum]
  (min, avg, max) = (6.000, 6.933, 8.000), stdev = 0.594
  CI (99.9%): [104.000, 104.000] (assumes normal distribution)

Secondary result "io.github.lemon_ant.jharmonizer.printerlab.PrinterBenchmark.serialize:gc.time":
  305.000 ±(99.9%) 0.001 ms [Sum]
  (min, avg, max) = (14.000, 20.333, 46.000), stdev = 9.933
  CI (99.9%): [305.000, 305.000] (assumes normal distribution)

Secondary result "io.github.lemon_ant.jharmonizer.printerlab.PrinterBenchmark.serialize:mempool.CodeHeap 'non-nmethods'.used":
  1606.375 ±(99.9%) 0.001 KiB [Maximum]
  (min, avg, max) = (1585.625, 1589.383, 1606.375), stdev = 4.945
  CI (99.9%): [1606.375, 1606.375] (assumes normal distribution)

Secondary result "io.github.lemon_ant.jharmonizer.printerlab.PrinterBenchmark.serialize:mempool.CodeHeap 'non-profiled nmethods'.used":
  3938.875 ±(99.9%) 0.001 KiB [Maximum]
  (min, avg, max) = (3690.625, 3808.542, 3938.875), stdev = 87.402
  CI (99.9%): [3938.875, 3938.875] (assumes normal distribution)

Secondary result "io.github.lemon_ant.jharmonizer.printerlab.PrinterBenchmark.serialize:mempool.CodeHeap 'profiled nmethods'.used":
  12426.750 ±(99.9%) 0.001 KiB [Maximum]
  (min, avg, max) = (12148.125, 12266.308, 12426.750), stdev = 74.748
  CI (99.9%): [12426.750, 12426.750] (assumes normal distribution)

Secondary result "io.github.lemon_ant.jharmonizer.printerlab.PrinterBenchmark.serialize:mempool.Compressed Class Space.used":
  5231.664 ±(99.9%) 0.001 KiB [Maximum]
  (min, avg, max) = (5101.781, 5169.129, 5231.664), stdev = 54.324
  CI (99.9%): [5231.664, 5231.664] (assumes normal distribution)

Secondary result "io.github.lemon_ant.jharmonizer.printerlab.PrinterBenchmark.serialize:mempool.G1 Eden Space.used":
  627712.000 ±(99.9%) 0.001 KiB [Maximum]
  (min, avg, max) = (626688.000, 627643.733, 627712.000), stdev = 264.396
  CI (99.9%): [627712.000, 627712.000] (assumes normal distribution)

Secondary result "io.github.lemon_ant.jharmonizer.printerlab.PrinterBenchmark.serialize:mempool.G1 Old Gen.used":
  21535.625 ±(99.9%) 0.001 KiB [Maximum]
  (min, avg, max) = (20858.375, 21239.406, 21535.625), stdev = 267.421
  CI (99.9%): [21535.625, 21535.625] (assumes normal distribution)

Secondary result "io.github.lemon_ant.jharmonizer.printerlab.PrinterBenchmark.serialize:mempool.G1 Survivor Space.used":
  12865.156 ±(99.9%) 0.001 KiB [Maximum]
  (min, avg, max) = (37.031, 1994.521, 12865.156), stdev = 4293.516
  CI (99.9%): [12865.156, 12865.156] (assumes normal distribution)

Secondary result "io.github.lemon_ant.jharmonizer.printerlab.PrinterBenchmark.serialize:mempool.Metaspace.used":
  38083.516 ±(99.9%) 0.001 KiB [Maximum]
  (min, avg, max) = (37554.523, 37794.974, 38083.516), stdev = 210.231
  CI (99.9%): [38083.516, 38083.516] (assumes normal distribution)

Secondary result "io.github.lemon_ant.jharmonizer.printerlab.PrinterBenchmark.serialize:mempool.total.codeheap.used":
  17936.250 ±(99.9%) 0.001 KiB [Maximum]
  (min, avg, max) = (17493.250, 17664.233, 17936.250), stdev = 116.573
  CI (99.9%): [17936.250, 17936.250] (assumes normal distribution)

Secondary result "io.github.lemon_ant.jharmonizer.printerlab.PrinterBenchmark.serialize:mempool.total.used":
  721268.219 ±(99.9%) 0.001 KiB [Maximum]
  (min, avg, max) = (709138.484, 711505.996, 721268.219), stdev = 4073.870
  CI (99.9%): [721268.219, 721268.219] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 21.0.8, OpenJDK 64-Bit Server VM, 21.0.8+9-LTS
# VM invoker: C:\Program Files\Microsoft\jdk-21.0.8.9-hotspot\bin\java.exe
# VM options: -Xms1g -Xmx1g -XX:+UseG1GC -Dfile.encoding=UTF-8 -Duser.language=en -Duser.country=US -Duser.timezone=UTC -Dprinter.lab.corpus=W:\JHarmonizer\core\printer-lab\target\measurement-0f6aa72d\candidate-run\corpus
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 1 s each
# Measurement: 5 iterations, 2 s each
# Timeout: 10 min per iteration
# Threads: 8 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: io.github.lemon_ant.jharmonizer.printerlab.PrinterBenchmark.serialize
# Parameters: (workload = flat128)

# Run progress: 25.00% complete, ETA 00:04:31
# Fork: 1 of 3
Picked up JAVA_TOOL_OPTIONS: -Dfile.encoding=UTF-8
# Warmup Iteration   1: 8505.240 ops/s
# Warmup Iteration   2: 13898.914 ops/s
# Warmup Iteration   3: 28607.526 ops/s
# Warmup Iteration   4: 28855.310 ops/s
# Warmup Iteration   5: 29891.480 ops/s
Iteration   1: 28643.486 ops/s
                 gc.alloc.rate:                                 3161.593 MB/sec
                 gc.alloc.rate.norm:                            116344.752 B/op
                 gc.count:                                      11.000 counts
                 gc.time:                                       26.000 ms
                 mempool.CodeHeap 'non-nmethods'.used:          1575.875 KiB
                 mempool.CodeHeap 'non-profiled nmethods'.used: 2796.750 KiB
                 mempool.CodeHeap 'profiled nmethods'.used:     8575.875 KiB
                 mempool.Compressed Class Space.used:           4497.242 KiB
                 mempool.G1 Eden Space.used:                    627712.000 KiB
                 mempool.G1 Old Gen.used:                       17738.117 KiB
                 mempool.G1 Survivor Space.used:                79.172 KiB
                 mempool.Metaspace.used:                        34017.719 KiB
                 mempool.total.codeheap.used:                   12948.500 KiB
                 mempool.total.used:                            696992.750 KiB

Iteration   2: 27468.077 ops/s
                 gc.alloc.rate:                                 3022.688 MB/sec
                 gc.alloc.rate.norm:                            116344.908 B/op
                 gc.count:                                      10.000 counts
                 gc.time:                                       22.000 ms
                 mempool.CodeHeap 'non-nmethods'.used:          1562.500 KiB
                 mempool.CodeHeap 'non-profiled nmethods'.used: 2803.625 KiB
                 mempool.CodeHeap 'profiled nmethods'.used:     8611.875 KiB
                 mempool.Compressed Class Space.used:           4498.305 KiB
                 mempool.G1 Eden Space.used:                    627712.000 KiB
                 mempool.G1 Old Gen.used:                       17752.227 KiB
                 mempool.G1 Survivor Space.used:                81.516 KiB
                 mempool.Metaspace.used:                        34030.172 KiB
                 mempool.total.codeheap.used:                   12978.000 KiB
                 mempool.total.used:                            697052.219 KiB

Iteration   3: 28242.001 ops/s
                 gc.alloc.rate:                                 3123.729 MB/sec
                 gc.alloc.rate.norm:                            116344.998 B/op
                 gc.count:                                      10.000 counts
                 gc.time:                                       22.000 ms
                 mempool.CodeHeap 'non-nmethods'.used:          1562.875 KiB
                 mempool.CodeHeap 'non-profiled nmethods'.used: 2804.875 KiB
                 mempool.CodeHeap 'profiled nmethods'.used:     8624.875 KiB
                 mempool.Compressed Class Space.used:           4498.305 KiB
                 mempool.G1 Eden Space.used:                    627712.000 KiB
                 mempool.G1 Old Gen.used:                       17769.742 KiB
                 mempool.G1 Survivor Space.used:                76.656 KiB
                 mempool.Metaspace.used:                        34033.234 KiB
                 mempool.total.codeheap.used:                   12992.625 KiB
                 mempool.total.used:                            697082.563 KiB

Iteration   4: 29396.628 ops/s
                 gc.alloc.rate:                                 3250.018 MB/sec
                 gc.alloc.rate.norm:                            116344.882 B/op
                 gc.count:                                      11.000 counts
                 gc.time:                                       23.000 ms
                 mempool.CodeHeap 'non-nmethods'.used:          1548.375 KiB
                 mempool.CodeHeap 'non-profiled nmethods'.used: 2805.625 KiB
                 mempool.CodeHeap 'profiled nmethods'.used:     8656.250 KiB
                 mempool.Compressed Class Space.used:           4498.305 KiB
                 mempool.G1 Eden Space.used:                    627712.000 KiB
                 mempool.G1 Old Gen.used:                       17779.820 KiB
                 mempool.G1 Survivor Space.used:                72.703 KiB
                 mempool.Metaspace.used:                        34042.672 KiB
                 mempool.total.codeheap.used:                   13010.250 KiB
                 mempool.total.used:                            697115.750 KiB

Iteration   5: 24180.823 ops/s
                 gc.alloc.rate:                                 2675.421 MB/sec
                 gc.alloc.rate.norm:                            116575.998 B/op
                 gc.count:                                      10.000 counts
                 gc.time:                                       25.000 ms
                 mempool.CodeHeap 'non-nmethods'.used:          1565.250 KiB
                 mempool.CodeHeap 'non-profiled nmethods'.used: 2810.750 KiB
                 mempool.CodeHeap 'profiled nmethods'.used:     8685.625 KiB
                 mempool.Compressed Class Space.used:           4498.813 KiB
                 mempool.G1 Eden Space.used:                    627712.000 KiB
                 mempool.G1 Old Gen.used:                       17787.883 KiB
                 mempool.G1 Survivor Space.used:                83.250 KiB
                 mempool.Metaspace.used:                        34057.969 KiB
                 mempool.total.codeheap.used:                   13061.625 KiB
                 mempool.total.used:                            697201.539 KiB


# Run progress: 33.33% complete, ETA 00:03:49
# Fork: 2 of 3
Picked up JAVA_TOOL_OPTIONS: -Dfile.encoding=UTF-8
# Warmup Iteration   1: 5573.842 ops/s
# Warmup Iteration   2: 14285.404 ops/s
# Warmup Iteration   3: 15117.172 ops/s
# Warmup Iteration   4: 25747.918 ops/s
# Warmup Iteration   5: 29665.142 ops/s
Iteration   1: 29212.883 ops/s
                 gc.alloc.rate:                                 3232.454 MB/sec
                 gc.alloc.rate.norm:                            116365.960 B/op
                 gc.count:                                      11.000 counts
                 gc.time:                                       22.000 ms
                 mempool.CodeHeap 'non-nmethods'.used:          1563.125 KiB
                 mempool.CodeHeap 'non-profiled nmethods'.used: 2899.125 KiB
                 mempool.CodeHeap 'profiled nmethods'.used:     8501.125 KiB
                 mempool.Compressed Class Space.used:           4452.156 KiB
                 mempool.G1 Eden Space.used:                    627712.000 KiB
                 mempool.G1 Old Gen.used:                       17511.227 KiB
                 mempool.G1 Survivor Space.used:                85.625 KiB
                 mempool.Metaspace.used:                        33874.617 KiB
                 mempool.total.codeheap.used:                   12963.375 KiB
                 mempool.total.used:                            696599.000 KiB

Iteration   2: 30039.417 ops/s
                 gc.alloc.rate:                                 3319.782 MB/sec
                 gc.alloc.rate.norm:                            116320.962 B/op
                 gc.count:                                      12.000 counts
                 gc.time:                                       25.000 ms
                 mempool.CodeHeap 'non-nmethods'.used:          1546.875 KiB
                 mempool.CodeHeap 'non-profiled nmethods'.used: 2902.500 KiB
                 mempool.CodeHeap 'profiled nmethods'.used:     8541.000 KiB
                 mempool.Compressed Class Space.used:           4453.219 KiB
                 mempool.G1 Eden Space.used:                    627712.000 KiB
                 mempool.G1 Old Gen.used:                       17523.320 KiB
                 mempool.G1 Survivor Space.used:                78.656 KiB
                 mempool.Metaspace.used:                        33889.117 KiB
                 mempool.total.codeheap.used:                   12990.375 KiB
                 mempool.total.used:                            696646.688 KiB

Iteration   3: 29833.240 ops/s
                 gc.alloc.rate:                                 3303.452 MB/sec
                 gc.alloc.rate.norm:                            116321.215 B/op
                 gc.count:                                      11.000 counts
                 gc.time:                                       23.000 ms
                 mempool.CodeHeap 'non-nmethods'.used:          1561.000 KiB
                 mempool.CodeHeap 'non-profiled nmethods'.used: 2905.500 KiB
                 mempool.CodeHeap 'profiled nmethods'.used:     8552.750 KiB
                 mempool.Compressed Class Space.used:           4453.219 KiB
                 mempool.G1 Eden Space.used:                    627712.000 KiB
                 mempool.G1 Old Gen.used:                       17542.852 KiB
                 mempool.G1 Survivor Space.used:                78.641 KiB
                 mempool.Metaspace.used:                        33893.609 KiB
                 mempool.total.codeheap.used:                   13019.250 KiB
                 mempool.total.used:                            696699.570 KiB

Iteration   4: 29707.483 ops/s
                 gc.alloc.rate:                                 3281.294 MB/sec
                 gc.alloc.rate.norm:                            116321.492 B/op
                 gc.count:                                      11.000 counts
